/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
826.65	48.819	-430.8	-7.08	1504
827.20	48.867	-430.4	-7.01	1505
827.75	48.915	-427.5	-6.54	1506
828.30	48.962	-433.8	-7.57	1507
828.85	49.012	-434.4	-7.67	1508
829.40	49.063	-433.9	-7.59	1509
829.95	49.115	-437.4	-8.17	1510
830.50	49.167	-432.0	-7.28	1511
831.05	49.218	-436.7	-8.05	1512
831.60	49.269	-434.2	-7.64	1513
832.15	49.322	-438.8	-8.39	1514
832.70	49.375	-432.5	-7.36	1515
833.25	49.426	-436.2	-7.96	1516
833.80	49.477	-431.3	-7.16	1517
834.35	49.526	-428.8	-6.75	1518
834.90	49.575	-433.6	-7.54	1519
835.45	49.624	-433.1	-7.45	1520
836.00	49.673	-424.9	-6.10	1521
836.55	49.721	-434.6	-7.70	1522
837.10	49.770	-434.4	-7.67	1523
837.65	49.820	-426.1	-6.30	1524
838.20	49.869	-434.4	-7.67	1525
838.75	49.918	-433.3	-7.49	1526
839.30	49.970	-437.5	-8.18	1527
839.85	50.022	-430.7	-7.06	1528
840.40	50.071	-428.2	-6.64	1529
840.95	50.118	-430.1	-6.96	1530
841.50	50.166	-427.3	-6.50	1531
842.05	50.212	-430.5	-7.02	1532
842.60	50.261	-433.6	-7.53	1533
843.15	50.311	-433.4	-7.50	1534
843.70	50.362	-430.7	-7.06	1535
844.25	50.411	-430.7	-7.05	1536
844.80	50.458	-422.1	-5.64	1537
845.35	50.503	-431.4	-7.17	1538
845.90	50.551	-433.0	-7.43	1539
846.45	50.602	-437.1	-8.11	1540
847.00	50.652	-425.8	-6.25	1541
847.55	50.701	-430.5	-7.02	1542
848.10	50.749	-433.3	-7.48	1543
848.65	50.798	-427.9	-6.59	1544
849.20	50.846	-433.4	-7.50	1545
849.75	50.896	-432.6	-7.37	1546
850.30	50.945	-428.5	-6.69	1547
850.85	50.993	-428.6	-6.71	1548
851.40	51.041	-435.5	-7.84	1549
851.95	51.092	-432.7	-7.38	1550
852.50	51.143	-432.7	-7.38	1551
853.05	51.193	-431.7	-7.22	1552
853.60	51.242	-430.1	-6.95	1553
854.15	51.291	-430.5	-7.02	1554
854.70	51.339	-429.0	-6.77	1555
855.25	51.387	-431.7	-7.21	1556
855.80	51.436	-428.0	-6.61	1557
856.35	51.483	-426.9	-6.42	1558
856.90	51.528	-424.2	-5.98	1559
857.45	51.575	-432.9	-7.41	1560
858.00	51.622	-427.8	-6.57	1561
858.55	51.671	-432.5	-7.35	1562
859.10	51.719	-425.0	-6.11	1563
859.65	51.765	-428.2	-6.64	1564
860.20	51.811	-421.2	-5.49	1565
860.75	51.854	-429.2	-6.81	1566
861.30	51.901	-425.9	-6.26	1567
861.85	51.947	-424.1	-5.97	1568
862.40	51.990	-415.9	-4.62	1569
862.95	52.032	-426.5	-6.36	1570
863.50	52.075	-419.7	-5.24	1571
864.05	52.117	-425.7	-6.23	1572
864.60	52.163	-432.0	-7.27	1573
865.15	52.212	-426.2	-6.32	1574
865.70	52.258	-429.5	-6.86	1575
866.25	52.305	-426.2	-6.32	1576
866.80	52.352	-428.8	-6.75	1577
867.35	52.398	-424.7	-6.07	1578
867.90	52.443	-422.2	-5.66	1579
868.45	52.488	-430.6	-7.04	1580
869.00	52.535	-424.1	-5.97	1581
869.55	52.580	-426.4	-6.35	1582
870.10	52.625	-419.9	-5.28	1583
870.65	52.668	-428.6	-6.72	1584
871.20	52.713	-424.9	-6.11	1585
871.75	52.757	-415.8	-4.61	1586
872.30	52.799	-424.9	-6.11	1587
872.85	52.843	-425.3	-6.18	1588
873.40	52.888	-428.0	-6.62	1589
873.95	52.935	-429.2	-6.82	1590
874.50	52.982	-426.2	-6.33	1591
875.05	53.026	-413.6	-4.25	1592
875.60	53.067	-422.7	-5.75	1593
876.15	53.110	-425.3	-6.18	1594
876.70	53.153	-418.6	-5.08	1595
877.25	53.195	-420.6	-5.41	1596
877.80	53.237	-418.3	-5.03	1597
878.35	53.278	-419.2	-5.18	1598
878.90	53.318	-417.8	-4.95	1599
879.45	53.359	-417.6	-4.92	1600
880.00	53.399	-418.0	-4.99	1601
880.55	53.440	-419.8	-5.29	1602
881.10	53.482	-425.2	-6.18	1603
881.65	53.526	-425.9	-6.30	1604
882.20	53.571	-424.6	-6.08	1605
882.75	53.617	-431.3	-7.19	1606
883.30	53.666	-429.4	-6.87	1607
883.85	53.714	-428.1	-6.66	1608
884.40	53.761	-421.3	-5.54	1609
884.95	53.804	-425.6	-6.25	1610
885.50	53.848	-421.3	-5.54	1611
886.05	53.893	-427.2	-6.52	1612
886.60	53.938	-425.6	-6.25	1613
887.15	53.984	-428.1	-6.67	1614
887.70	54.031	-427.1	-6.50	1615
888.25	54.078	-430.0	-6.98	1616
888.80	54.125	-422.0	-5.66	1617
889.35	54.169	-423.8	-5.96	1618
889.90	54.213	-423.0	-5.83	1619
890.45	54.256	-420.5	-5.42	1620
891.00	54.301	-430.3	-7.04	1621
891.55	54.347	-429.5	-6.90	1622
892.10	54.396	-429.2	-6.86	1623
892.65	54.445	-432.5	-7.40	1624
893.20	54.495	-432.5	-7.40	1625
893.75	54.544	-428.8	-6.79	1626
894.30	54.594	-433.8	-7.62	1627
894.85	54.645	-435.5	-7.90	1628
895.40	54.697	-432.3	-7.37	1629
895.95	54.748	-432.4	-7.39	1630
896.50	54.797	-423.6	-5.94	1631
897.05	54.843	-427.6	-6.60	1632
897.60	54.890	-428.6	-6.76	1633
898.15	54.937	-424.8	-6.14	1634
898.70	54.982	-422.7	-5.79	1635
899.25	55.027	-429.6	-6.93	1636
899.80	55.074	-428.9	-6.82	1637
900.35	55.122	-424.2	-6.04	1638
900.90	55.168	-430.3	-7.05	1639
901.45	55.216	-429.1	-6.85	1640
902.00	55.264	-426.0	-6.34	1641
902.55	55.310	-427.5	-6.59	1642
903.10	55.358	-434.9	-7.81	1643
903.65	55.409	-428.7	-6.79	1644
904.20	55.458	-428.6	-6.77	1645
904.75	55.505	-428.8	-6.81	1646
905.30	55.554	-431.1	-7.19	1647
905.85	55.603	-432.2	-7.37	1648
906.40	55.654	-435.5	-7.91	1649
906.95	55.707	-438.0	-8.33	1650
907.50	55.761	-431.9	-7.32	1651
908.05	55.813	-432.1	-7.35	1652
908.60	55.864	-436.8	-8.13	1653
909.15	55.918	-438.3	-8.38	1654
909.70	55.971	-428.4	-6.75	1655
910.25	56.023	-440.1	-8.67	1656
910.80	56.076	-432.2	-7.37	1657
911.35	56.128	-431.7	-7.29	1658
911.90	56.178	-427.0	-6.52	1659
912.45	56.226	-429.2	-6.88	1660
913.00	56.275	-436.5	-8.08	1661
913.55	56.326	-427.7	-6.63	1662
914.10	56.376	-429.9	-7.00	1663
914.65	56.424	-430.5	-7.10	1664
915.20	56.474	-431.2	-7.21	1665
915.75	56.523	-427.7	-6.64	1666
916.30	56.571	-426.6	-6.46	1667
916.85	56.618	-433.6	-7.61	1668
917.40	56.669	-427.0	-6.52	1669
917.95	56.716	-431.0	-7.18	1670
918.50	56.766	-426.0	-6.36	1671
919.05	56.812	-424.6	-6.13	1672
919.60	56.858	-427.2	-6.56	1673
920.15	56.903	-419.7	-5.32	1674
920.70	56.948	-428.8	-6.83	1675
921.25	56.994	-425.3	-6.25	1676
921.80	57.041	-426.0	-6.37	1677
922.35	57.086	-422.1	-5.72	1678
922.90	57.130	-418.9	-5.20	1679
923.45	57.172	-423.7	-5.99	1680
924.00	57.216	-417.5	-4.97	1681
924.55	57.258	-421.9	-5.70	1682
925.10	57.300	-421.2	-5.58	1683
925.65	57.346	-434.6	-7.79	1684
926.20	57.395	-427.7	-6.66	1685
926.75	57.443	-423.5	-5.97	1686
927.30	57.488	-422.2	-5.75	1687
927.85	57.532	-426.3	-6.43	1688
928.40	57.578	-427.4	-6.61	1689
928.95	57.625	-422.6	-5.83	1690
929.50	57.669	-419.0	-5.23	1691
930.05	57.713	-429.4	-6.95	1692
930.60	57.760	-430.7	-7.16	1693
931.15	57.809	-428.6	-6.82	1694
931.70	57.857	-425.0	-6.23	1695
932.25	57.904	-424.8	-6.20	1696
932.80	57.949	-423.4	-5.97	1697
933.35	57.994	-424.2	-6.10	1698
933.90	58.039	-419.0	-5.25	1699
934.45	58.081	-427.0	-6.57	1700
935.00	58.127	-419.2	-5.28	1701
935.55	58.170	-423.4	-5.98	1702
936.10	58.212	-413.9	-4.42	1703
936.65	58.254	-423.7	-6.03	1704
937.20	58.297	-417.6	-5.03	1705
937.75	58.338	-416.9	-4.92	1706
938.30	58.379	-422.6	-5.86	1707
938.85	58.422	-421.4	-5.66	1708
939.40	58.467	-426.0	-6.42	1709
939.95	58.511	-416.3	-4.83	1710
940.50	58.552	-414.9	-4.60	1711
941.05	58.592	-418.5	-5.19	1712
941.60	58.633	-420.0	-5.44	1713
942.15	58.676	-421.2	-5.64	1714
942.70	58.718	-416.6	-4.89	1715
943.25	58.760	-422.9	-5.93	1716
943.80	58.803	-422.1	-5.80	1717
944.35	58.847	-423.8	-6.08	1718
944.90	58.892	-422.0	-5.78	1719
945.45	58.936	-422.7	-5.90	1720
946.00	58.980	-422.1	-5.80	1721
946.55	59.024	-421.5	-5.71	1722
947.10	59.067	-419.7	-5.41	1723
947.65	59.110	-419.4	-5.36	1724
948.20	59.153	-429.8	-7.08	1725
948.75	59.201	-414.3	-4.53	1726
949.30	59.242	-424.2	-6.16	1727
949.85	59.286	-424.8	-6.26	1728
950.40	59.333	-431.1	-7.30	1729
950.95	59.381	-423.8	-6.10	1730
951.50	59.426	-416.0	-4.82	1731
952.05	59.469	-424.9	-6.28	1732
952.60	59.514	-426.5	-6.55	1733
953.15	59.560	-424.3	-6.19	1734
953.70	59.606	-422.2	-5.85	1735
954.25	59.650	-430.1	-7.15	1736
954.80	59.700	-428.6	-6.90	1737
955.35	59.747	-419.0	-5.32	1738
955.90	59.791	-422.5	-5.90	1739
956.45	59.835	-422.6	-5.92	1740
957.00	59.879	-421.4	-5.72	1741
957.55	59.924	-430.8	-7.27	1742
958.10	59.972	-425.2	-6.35	1743
958.65	60.020	-427.8	-6.78	1744
959.20	60.068	-427.1	-6.67	1745
959.75	60.116	-430.6	-7.25	1746
960.30	60.166	-431.1	-7.33	1747
960.85	60.216	-428.6	-6.92	1748
961.40	60.265	-427.0	-6.66	1749
961.95	60.313	-432.0	-7.48	1750
962.50	60.364	-428.9	-6.97	1751
963.05	60.414	-424.5	-6.25	1752
963.60	60.460	-430.6	-7.25	1753
964.15	60.510	-427.4	-6.73	1754
964.70	60.558	-423.4	-6.07	1755
965.25	60.603	-421.7	-5.79	1756
965.80	60.649	-430.4	-7.22	1757
966.35	60.697	-428.5	-6.91	1758
966.90	60.747	-430.5	-7.24	1759
967.45	60.797	-432.2	-7.52	1760
968.00	60.847	-427.1	-6.68	1761
968.55	60.896	-425.7	-6.45	1762
969.10	60.944	-429.8	-7.13	1763
969.65	60.994	-433.7	-7.77	1764
970.20	61.045	-425.5	-6.43	1765
970.75	61.094	-429.8	-7.13	1766
971.30	61.142	-428.1	-6.86	1767
971.85	61.192	-429.5	-7.09	1768
972.40	61.242	-430.9	-7.32	1769
972.95	61.292	-431.3	-7.39	1770
973.50	61.343	-429.0	-7.01	1771
974.05	61.394	-435.7	-8.11	1772
974.60	61.447	-432.6	-7.60	1773
975.15	61.499	-428.7	-6.96	1774
975.70	61.550	-431.6	-7.44	1775
976.25	61.601	-433.6	-7.77	1776
976.80	61.654	-432.1	-7.52	1777
977.35	61.706	-430.5	-7.26	1778
977.90	61.757	-432.7	-7.62	1779
978.45	61.809	-433.6	-7.77	1780
979.00	61.863	-437.2	-8.37	1781
979.55	61.919	-436.3	-8.22	1782
980.10	61.974	-440.7	-8.94	1783
980.65	62.033	-436.0	-8.17	1784
981.20	62.089	-434.6	-7.94	1785
981.75	62.144	-435.3	-8.05	1786
982.30	62.198	-436.1	-8.19	1787
982.85	62.254	-438.6	-8.60	1788
983.40	62.312	-440.2	-8.86	1789
983.95	62.371	-438.4	-8.57	1790
984.50	62.428	-430.4	-7.25	1791
985.05	62.480	-440.5	-8.91	1792
985.60	62.539	-440.4	-8.89	1793
986.15	62.598	-440.1	-8.85	1794
986.70	62.657	-438.2	-8.53	1795
987.25	62.715	-436.4	-8.24	1796
987.80	62.771	-442.1	-9.17	1797
988.35	62.832	-443.9	-9.47	1798
988.90	62.894	-438.6	-8.60	1799
989.45	62.953	-437.5	-8.41	1800
990.00	63.012	-448.3	-10.19	1801
990.55	63.079	-442.7	-9.27	1802
991.10	63.141	-442.4	-9.22	1803
991.65	63.203	-443.6	-9.41	1804
992.20	63.265	-440.8	-8.95	1805
992.75	63.326	-442.9	-9.30	1806
993.30	63.388	-441.4	-9.05	1807
993.85	63.448	-440.1	-8.83	1808
994.40	63.508	-438.0	-8.49	1809
994.95	63.564	-427.0	-6.68	1810
995.50	63.615	-427.9	-6.82	1811
996.05	63.666	-437.1	-8.34	1812
996.60	63.720	-426.7	-6.63	1813
997.15	63.771	-440.3	-8.87	1814
997.70	63.829	-434.3	-7.88	1815
998.25	63.884	-434.2	-7.86	1816
998.80	63.938	-429.7	-7.12	1817
999.35	63.989	-431.7	-7.45	1818
999.90	64.042	-438.3	-8.53	1819
1000.45	64.100	-441.6	-9.08	1820
1001.00	64.160	-437.4	-8.38	1821
1001.55	64.218	-439.8	-8.78	1822
1002.10	64.278	-443.1	-9.32	1823
1002.65	64.340	-439.4	-8.71	1824
1003.20	64.399	-436.6	-8.24	1825
1003.75	64.457	-440.1	-8.82	1826
1004.30	64.516	-441.9	-9.11	1827
1004.85	64.577	-437.6	-8.40	1828
1005.40	64.635	-442.7	-9.24	1829
1005.95	64.697	-437.0	-8.30	1830
1006.50	64.756	-443.3	-9.34	1831
1007.05	64.817	-441.3	-9.01	1832
1007.60	64.879	-440.2	-8.82	1833
1008.15	64.939	-440.6	-8.89	1834
1008.70	64.998	-433.5	-7.72	1835
1009.25	65.054	-433.5	-7.72	1836
1009.80	65.111	-446.0	-9.77	1837
1010.35	65.173	-437.4	-8.36	1838
1010.90	65.232	-441.5	-9.03	1839
1011.45	65.293	-439.3	-8.67	1840
1012.00	65.353	-442.2	-9.14	1841
1012.55	65.415	-443.9	-9.42	1842
1013.10	65.479	-440.1	-8.79	1843
1013.65	65.539	-444.8	-9.56	1844
1014.20	65.603	-438.1	-8.46	1845
1014.75	65.663	-441.4	-9.00	1846
1015.30	65.724	-443.6	-9.36	1847
1015.85	65.788	-445.0	-9.59	1848
1016.40	65.852	-440.1	-8.78	1849
1016.95	65.914	-443.2	-9.29	1850
1017.50	65.977	-445.0	-9.58	1851
1018.05	66.042	-444.4	-9.48	1852
1018.60	66.106	-442.5	-9.17	1853
1019.15	66.170	-446.4	-9.81	1854
1019.70	66.236	-442.7	-9.20	1855
1020.25	66.299	-442.2	-9.11	1856
1020.80	66.362	-440.5	-8.83	1857
1021.35	66.423	-441.8	-9.04	1858
1021.90	66.485	-434.6	-7.85	1859
1022.45	66.541	-445.9	-9.71	1860
1023.00	66.606	-439.6	-8.67	1861
1023.55	66.667	-438.3	-8.46	1862
1024.10	66.727	-442.9	-9.21	1863
1024.65	66.790	-443.0	-9.23	1864
1025.20	66.853	-438.6	-8.50	1865
1025.75	66.913	-441.7	-9.01	1866
1026.30	66.976	-445.4	-9.61	1867
1026.85	67.041	-440.6	-8.82	1868
1027.40	67.103	-444.1	-9.39	1869
1027.95	67.167	-443.3	-9.26	1870
1028.50	67.231	-444.4	-9.44	1871
1029.05	67.296	-440.9	-8.86	1872
1029.60	67.358	-441.2	-8.90	1873
1030.15	67.421	-444.2	-9.40	1874
1030.70	67.485	-440.5	-8.78	1875
1031.25	67.546	-434.6	-7.81	1876
1031.80	67.604	-442.5	-9.11	1877
1032.35	67.666	-442.6	-9.12	1878
1032.90	67.729	-443.8	-9.32	1879
1033.45	67.793	-430.5	-7.12	1880
1034.00	67.848	-441.1	-8.87	1881
1034.55	67.908	-439.5	-8.60	1882
1035.10	67.969	-437.5	-8.27	1883
1035.65	68.029	-442.3	-9.06	1884
1036.20	68.091	-445.8	-9.63	1885
1036.75	68.158	-445.1	-9.51	1886
1037.30	68.224	-443.9	-9.31	1887
1037.85	68.289	-434.7	-7.79	1888
1038.40	68.346	-436.2	-8.04	1889
1038.95	68.403	-435.5	-7.92	1890
1039.50	68.460	-433.5	-7.59	1891
1040.05	68.517	-436.9	-8.15	1892
1040.60	68.574	-434.6	-7.77	1893
1041.15	68.631	-439.7	-8.60	1894
1041.70	68.692	-436.9	-8.14	1895
1042.25	68.751	-444.7	-9.42	1896
1042.80	68.816	-441.9	-8.96	1897
1043.35	68.879	-441.7	-8.92	1898
1043.90	68.943	-446.5	-9.71	1899
1044.45	69.009	-441.3	-8.85	1900
1045.00	69.074	-446.3	-9.67	1901
1045.55	69.141	-440.7	-8.75	1902
1046.10	69.204	-443.6	-9.22	1903
1046.65	69.268	-442.2	-8.99	1904
1047.20	69.332	-441.6	-8.89	1905
1047.75	69.394	-431.7	-7.26	1906
1048.30	69.450	-439.2	-8.49	1907
1048.85	69.511	-441.1	-8.80	1908
1049.40	69.573	-438.3	-8.34	1909
1049.95	69.632	-429.6	-6.91	1910
1050.50	69.686	-433.7	-7.58	1911
1051.05	69.741	-431.8	-7.27	1912
1051.60	69.796	-435.9	-7.94	1913
1052.15	69.854	-436.7	-8.07	1914
1052.70	69.913	-433.2	-7.49	1915
1053.25	69.969	-434.4	-7.69	1916
1053.80	70.025	-432.3	-7.34	1917
1054.35	70.081	-434.6	-7.72	1918
1054.90	70.137	-429.0	-6.79	1919
1055.45	70.190	-428.2	-6.66	1920
1056.00	70.241	-433.6	-7.55	1921
1056.55	70.296	-425.9	-6.28	1922
1057.10	70.347	-428.4	-6.69	1923
1057.65	70.399	-427.9	-6.61	1924
1058.20	70.450	-426.7	-6.41	1925
1058.75	70.500	-419.4	-5.20	1926
1059.30	70.546	-424.5	-6.04	1927
1059.85	70.594	-421.9	-5.61	1928
1060.40	70.641	-422.0	-5.63	1929
1060.95	70.688	-418.5	-5.05	1930
1061.50	70.733	-421.2	-5.50	1931
1062.05	70.779	-421.4	-5.53	1932
1062.60	70.826	-424.1	-5.98	1933
1063.15	70.873	-420.7	-5.41	1934
1063.70	70.922	-434.7	-7.72	1935
1064.25	70.976	-432.0	-7.27	1936
1064.80	71.030	-419.7	-5.25	1937
1065.35	71.078	-430.9	-7.09	1938
1065.90	71.130	-426.8	-6.41	1939
1066.45	71.182	-425.6	-6.21	1940
1067.00	71.231	-424.4	-6.01	1941
1067.55	71.280	-424.6	-6.04	1942
1068.10	71.330	-430.7	-7.05	1943
1068.65	71.383	-431.6	-7.19	1944
1069.20	71.438	-429.1	-6.78	1945
1069.75	71.491	-429.7	-6.88	1946
1070.30	71.544	-423.5	-5.85	1947
1070.85	71.592	-428.7	-6.71	1948
1071.40	71.645	-429.5	-6.84	1949
1071.95	71.697	-428.4	-6.65	1950
1072.50	71.750	-430.5	-7.00	1951
1073.05	71.804	-429.9	-6.90	1952
1073.60	71.857	-428.1	-6.60	1953
1074.15	71.910	-431.1	-7.09	1954
1074.70	71.964	-432.3	-7.28	1955
1075.25	72.019	-430.2	-6.94	1956
1075.80	72.074	-437.0	-8.05	1957
1076.35	72.132	-430.9	-7.05	1958
1076.90	72.187	-434.2	-7.59	1959
1077.45	72.244	-432.5	-7.30	1960
1078.00	72.301	-438.2	-8.24	1961
1078.55	72.363	-442.2	-8.89	1962
1079.10	72.426	-436.2	-7.90	1963
1079.65	72.486	-437.7	-8.14	1964
1080.20	72.547	-438.8	-8.32	1965
1080.75	72.608	-438.0	-8.19	1966
1081.30	72.669	-434.8	-7.66	1967
1081.85	72.727	-434.5	-7.60	1968
1082.40	72.785	-434.7	-7.63	1969
1082.95	72.843	-433.4	-7.42	1970
1083.50	72.899	-431.9	-7.17	1971
1084.05	72.956	-434.9	-7.66	1972
1084.60	73.012	-428.4	-6.58	1973
1085.15	73.066	-430.3	-6.89	1974
1085.70	73.119	-428.0	-6.51	1975
1086.25	73.172	-427.6	-6.45	1976
1086.80	73.225	-434.3	-7.55	1977
1087.35	73.281	-425.9	-6.16	1978
1087.90	73.333	-431.6	-7.10	1979
1088.45	73.387	-427.7	-6.45	1980
1089.00	73.440	-433.4	-7.39	1981
1089.55	73.495	-422.1	-5.53	1982
1090.10	73.545	-430.5	-6.91	1983
1090.65	73.598	-426.4	-6.23	1984
1091.20	73.650	-426.4	-6.23	1985
1091.75	73.701	-425.7	-6.11	1986
1092.30	73.752	-428.8	-6.62	1987
1092.85	73.804	-425.3	-6.04	1988
1093.40	73.854	-424.9	-5.97	1989
1093.95	73.903	-414.2	-4.21	1990
1094.50	73.947	-421.4	-5.39	1991
1095.05	73.994	-422.2	-5.52	1992
1095.60	74.042	-422.4	-5.56	1993
1096.15	74.090	-418.0	-4.83	1994
1096.70	74.135	-423.3	-5.70	1995
1097.25	74.183	-416.1	-4.51	1996
1097.80	74.228	-419.4	-5.06	1997
1098.35	74.274	-424.3	-5.86	1998
1098.90	74.322	-418.6	-4.92	1999
1099.45	74.368	-420.0	-5.15	2000
1100.00	74.414	-418.9	-4.97	2001
1100.55	74.459	-415.9	-4.47	2002
1101.10	74.503	-410.1	-3.52	2003
1101.65	74.543	-416.9	-4.64	2004
1102.20	74.587	-413.5	-4.08	2005
1102.75	74.630	-415.7	-4.44	2006
1103.30	74.674	-422.7	-5.59	2007
1103.85	74.721	-420.9	-5.29	2008
1104.40	74.768	-420.7	-5.26	2009
1104.95	74.816	-423.5	-5.72	2010
1105.50	74.864	-421.2	-5.34	2011
1106.05	74.913	-425.9	-6.11	2012
1106.60	74.962	-420.3	-5.19	2013
1107.15	75.011	-429.3	-6.67	2014
1107.70	75.063	-426.6	-6.22	2015
1108.25	75.114	-424.4	-5.86	2016
1108.80	75.165	-424.2	-5.82	2017
1109.35	75.215	-425.2	-5.98	2018
1109.90	75.265	-425.9	-6.10	2019
1110.45	75.316	-425.3	-5.99	2020
1111.00	75.368	-429.1	-6.62	2021
1111.55	75.421	-429.4	-6.67	2022
1112.10	75.474	-426.7	-6.22	2023
1112.65	75.527	-431.2	-6.96	2024
1113.20	75.582	-428.6	-6.52	2025
1113.75	75.636	-434.0	-7.41	2026
1114.30	75.693	-430.2	-6.78	2027
1114.85	75.749	-435.2	-7.60	2028
1115.40	75.808	-437.3	-7.94	2029
1115.95	75.868	-434.2	-7.43	2030
1116.50	75.926	-430.2	-6.77	2031
1117.05	75.982	-431.6	-6.99	2032
1117.60	76.038	-427.9	-6.38	2033
1118.15	76.091	-427.5	-6.31	2034
1118.70	76.144	-434.8	-7.51	2035
1119.25	76.202	-431.2	-6.91	2036
1119.80	76.258	-430.2	-6.75	2037
1120.35	76.312	-426.3	-6.10	2038
1120.90	76.365	-427.4	-6.28	2039
1121.45	76.419	-438.4	-8.09	2040
1122.00	76.478	-425.7	-5.99	2041
1122.55	76.531	-431.7	-6.98	2042
1123.10	76.587	-426.4	-6.10	2043
1123.65	76.639	-428.1	-6.38	2044
1124.20	76.692	-433.0	-7.18	2045
1124.75	76.749	-431.6	-6.95	2046
1125.30	76.806	-429.8	-6.65	2047
1125.85	76.861	-431.3	-6.89	2048
1126.40	76.916	-427.2	-6.21	2049
1126.95	76.969	-426.3	-6.06	2050
1127.50	77.021	-426.1	-6.03	2051
1128.05	77.073	-426.7	-6.12	2052
1128.60	77.125	-430.7	-6.78	2053
1129.15	77.179	-420.9	-5.16	2054
1129.70	77.229	-428.3	-6.38	2055
1130.25	77.281	-424.6	-5.77	2056
1130.80	77.332	-424.0	-5.66	2057
1131.35	77.382	-427.9	-6.31	2058
1131.90	77.435	-432.6	-7.08	2059
1132.45	77.492	-428.7	-6.43	2060
1133.00	77.546	-428.9	-6.46	2061
1133.55	77.601	-432.4	-7.04	2062
1134.10	77.658	-432.5	-7.05	2063
1134.65	77.715	-431.1	-6.81	2064
1135.20	77.770	-428.5	-6.38	2065
1135.75	77.825	-430.4	-6.69	2066
1136.30	77.880	-428.9	-6.44	2067
1136.85	77.935	-429.9	-6.60	2068
1137.40	77.989	-425.9	-5.94	2069
1137.95	78.041	-427.5	-6.20	2070
1138.50	78.094	-430.1	-6.63	2071
1139.05	78.149	-424.4	-5.69	2072
1139.60	78.200	-424.8	-5.75	2073
